word,box,due
a,2,18509
and,2,18509
are,1,18508
be,1,18508
can,2,18511
car,2,18509
cat,2,18509
crab,0,18508
curb,0,18508
cut,2,18509
had,4,18518
hat,2,18510
he,2,18509
hot,2,18510
huff,2,18511
hug,1,18508
hull,2,18510
hut,2,18511
is,3,18510
it,3,18514
of,2,18511
or,0,18508
pal,1,18508
puff,2,18511
pug,0,18508
pull,2,18510
pup,3,18514
rag,1,18509
rat,2,18511
roll,1,18509
rub,2,18511
rug,2,18510
salt,2,18510
sap,3,18514
sat,2,18508
she,1,18508
skull,0,18508
so,1,18508
soft,1,18508
sorts,0,18508
staff,2,18510
star,2,18509
start,2,18511
stop,1,18509
straps,0,18508
tap,2,18510
the,3,18510
to,1,18509
top,0,18508
tough,0,18508
tug,1,18509
up,1,18508
us,0,18508
we,0,18508
wet,1,18509
with,2,18509
worse,0,18508
you,4,18518
